Product_ID,Title,Link,Category,Label_Trend,Label_Marketing,Rating,Sold,Original_Price,Current_Price,Discount_Percent
1732796650634118470,Áo Sơ Mi Sọc Bản To Chất Linen Mềm Mại Thiết Kế Rộng Vừa Phù Hợp Nhiều Dịp Thoải Mái Độc Đáo,https://www.tiktok.com/shop/vn/pdp/ao-so-mi-soc-ban-to-chat-linen-mem-mai-thiet-ke-rong-vua-phu-hop-nhieu-dip/1732796650634118470,Womenswear & Underwear,Không,Flash Sale,4.7,6.4K,210.000₫,155.000,-26%
1733797912870094277,(HAVANA) Chân váy miniskirt CINDY form A phối chấm bi basic CV434,https://www.tiktok.com/shop/vn/pdp/1733797912870094277,Womenswear & Underwear,Không,Deal,5.0,1.2K,149.000₫,119.000,-20%
1731840817419291642,(Tặng kèm nơ) Áo nữ kiểu babydoll xoè tay bồng tiểu thư công chúa chất tơ xốp HA305,https://www.tiktok.com/shop/vn/pdp/ao-thun-nu-om-body-co-vuong-ha666-chat-tam-mem-min-phong-cach-han-quoc-%C4%91a-dang-mau-sac/1731840817419291642,Womenswear & Underwear,Xu hướng,Deal,4.6,593,180.000₫,107.910,-40%
1733778114125792641,Pháp Phục Hân Nguyễn - B.A180 - Bộ Bà Ba Lụa Valentinoo Châu Sa Cao Cấp Cổ Tròn Nút Nụ Dây Kéo ( Quần CÙNG CHẤT ),https://www.tiktok.com/shop/vn/pdp/1733778114125792641,Womenswear & Underwear,Không,Deal,4.8,429,650.000₫,420.000,-35%
1729748903131515900,Áo giữ nhiệt lót bông cổ cao 3 cm áo nỉ Nữ Women Top,https://www.tiktok.com/shop/vn/pdp/ao-giu-nhiet-co-cao-3cm-vai-cotton-mem-mai-co-gian-tot/1729748903131515900,Womenswear & Underwear,Không,Không,4.6,52.3K,40.000₫,34.000,-15%
1733532274809013434,[DUY NHẤT ONLINE] Bộ mặc nhà nữ dài tay có hoạ tiết | Oeko-Tex CANIFA 6LS25W014,https://www.tiktok.com/shop/vn/pdp/1733532274809013434,Womenswear & Underwear,Không,Không,4.3,903,499.000₫,279.000,-44%
1732626680879875898,Bộ Tay Ngắn Áo Ôm 05 THUN LẠNH Quần Ống Rộng Cotton Nữ Women,https://www.tiktok.com/shop/vn/pdp/bo-tay-ngan-ao-om-quan-ong-rong-thun-lanh-cotton-nu-co-gian-tot-hut-am-cap-cao-co-tui/1732626680879875898,Womenswear & Underwear,Không,Không,4.8,5.6K,170.000₫,139.400,-18%
1731460377284610270,Áo Khoác Nỉ Bông Fom Lửng 6 Túi Vải Dày Mềm Mịn Tay Xỏ Ngón Chống Nắng Cho Nữ Từ 45 Đến 72 Ký Top Women Jacket Thiết Kế Thoải Mái Phong Cách Chất Liệu Cao Cấp,https://www.tiktok.com/shop/vn/pdp/1731460377284610270,Womenswear & Underwear,Xu hướng,Không,4.7,9.6K,N/A,89.000,0%
1729751421857401792,"Áo tiểu thơ bigsize nữ áo kèm quần, sét dáng babydoll phối bèo xinh xắn, somi kiểu nữ dáng rộng thu đông Đậu bigsize (SM40 , Q500) Women Top Đậu bigsize",https://www.tiktok.com/shop/vn/pdp/ao-babydoll-bigsize-nu-chat-vai-mem-nhe-phong-cach-thu-%C4%91ong/1729751421857401792,Womenswear & Underwear,Xu hướng,Không,4.7,21.4K,100.000₫,69.000,-31%
1733504660490979013,| Mở bán REDO | ÁO KHOÁC CARDIGAN NỮ DỆT KIM HOẠ TIẾT KẺ SỌC BASIC CÚC NGỌC MỀM MẠI áo khoác cardigan,https://www.tiktok.com/shop/vn/pdp/1733504660490979013,Womenswear & Underwear,Không,Không,4.7,5.7K,230.000₫,179.000,-22%
